subject,relation,object
贵州,暴雨洪涝造成了损失,人
贵州,暴雨洪涝造成了损失,农作物
贵州,暴雨洪涝造成了损失,房屋
重庆,暴雨洪涝造成了损失,人
重庆,暴雨洪涝造成了损失,农作物
重庆,暴雨洪涝造成了损失,房屋
福建,暴雨洪涝造成了损失,人
福建,暴雨洪涝造成了损失,农作物
福建,暴雨洪涝造成了损失,房屋
浙江,暴雨洪涝造成了损失,人
浙江,暴雨洪涝造成了损失,农作物
浙江,暴雨洪涝造成了损失,房屋
今年,暴雨洪涝发生于,贵州
今年,暴雨洪涝发生于,重庆
今年,暴雨洪涝发生于,福建
今年,暴雨洪涝发生于,浙江
今年,暴雨洪涝造成了损失,人
今年,暴雨洪涝造成了损失,农作物
今年,暴雨洪涝造成了损失,房屋
8月,暴雨洪涝发生于,贵州
8月,暴雨洪涝发生于,重庆
8月,暴雨洪涝发生于,福建
8月,暴雨洪涝发生于,浙江
8月,暴雨洪涝造成了损失,人
8月,暴雨洪涝造成了损失,农作物
8月,暴雨洪涝造成了损失,房屋
新疆生产建设兵团,暴雨洪涝造成了损失,人
新疆生产建设兵团,暴雨洪涝造成了损失,房屋
新疆生产建设兵团,暴雨洪涝造成了损失,农作物
福建,暴雨洪涝造成了损失,人
福建,暴雨洪涝造成了损失,房屋
福建,暴雨洪涝造成了损失,农作物
湖南,暴雨洪涝造成了损失,人
湖南,暴雨洪涝造成了损失,房屋
湖南,暴雨洪涝造成了损失,农作物
广东,暴雨洪涝造成了损失,人
广东,暴雨洪涝造成了损失,房屋
广东,暴雨洪涝造成了损失,农作物
广东省,暴雨洪涝造成了损失,人
广东省,暴雨洪涝造成了损失,房屋
广东省,暴雨洪涝造成了损失,农作物
阳东区,暴雨洪涝造成了损失,人
阳东区,暴雨洪涝造成了损失,房屋
阳东区,暴雨洪涝造成了损失,农作物
6,暴雨洪涝发生于,新疆生产建设兵团
6,暴雨洪涝发生于,福建
6,暴雨洪涝发生于,湖南
6,暴雨洪涝发生于,广东
6,暴雨洪涝发生于,广东省
6,暴雨洪涝发生于,阳东区
6,暴雨洪涝造成了损失,人
6,暴雨洪涝造成了损失,房屋
6,暴雨洪涝造成了损失,农作物
19,暴雨洪涝发生于,新疆生产建设兵团
19,暴雨洪涝发生于,福建
19,暴雨洪涝发生于,湖南
19,暴雨洪涝发生于,广东
19,暴雨洪涝发生于,广东省
19,暴雨洪涝发生于,阳东区
19,暴雨洪涝造成了损失,人
19,暴雨洪涝造成了损失,房屋
19,暴雨洪涝造成了损失,农作物
21,暴雨洪涝发生于,新疆生产建设兵团
21,暴雨洪涝发生于,福建
21,暴雨洪涝发生于,湖南
21,暴雨洪涝发生于,广东
21,暴雨洪涝发生于,广东省
21,暴雨洪涝发生于,阳东区
21,暴雨洪涝造成了损失,人
21,暴雨洪涝造成了损失,房屋
21,暴雨洪涝造成了损失,农作物
浙江,暴雨洪涝造成了损失,人
湖南,暴雨洪涝造成了损失,人
广东,暴雨洪涝造成了损失,人
广西,暴雨洪涝造成了损失,人
四川,暴雨洪涝造成了损失,人
云南,暴雨洪涝造成了损失,人
6月28日,暴雨洪涝发生于,浙江
6月28日,暴雨洪涝发生于,湖南
6月28日,暴雨洪涝发生于,广东
6月28日,暴雨洪涝发生于,广西
6月28日,暴雨洪涝发生于,四川
6月28日,暴雨洪涝发生于,云南
6月28日,暴雨洪涝造成了损失,人
7月2日,暴雨洪涝发生于,浙江
7月2日,暴雨洪涝发生于,湖南
7月2日,暴雨洪涝发生于,广东
7月2日,暴雨洪涝发生于,广西
7月2日,暴雨洪涝发生于,四川
7月2日,暴雨洪涝发生于,云南
7月2日,暴雨洪涝造成了损失,人
河北,暴雨洪涝造成了损失,人
山西,暴雨洪涝造成了损失,人
内蒙古,暴雨洪涝造成了损失,人
吉林,暴雨洪涝造成了损失,人
黑龙江,暴雨洪涝造成了损失,人
江苏,暴雨洪涝造成了损失,人
安徽,暴雨洪涝造成了损失,人
山东,暴雨洪涝造成了损失,人
河南,暴雨洪涝造成了损失,人
湖北,暴雨洪涝造成了损失,人
重庆,暴雨洪涝造成了损失,人
四川,暴雨洪涝造成了损失,人
贵州,暴雨洪涝造成了损失,人
云南,暴雨洪涝造成了损失,人
西藏,暴雨洪涝造成了损失,人
陕西,暴雨洪涝造成了损失,人
甘肃,暴雨洪涝造成了损失,人
青海,暴雨洪涝造成了损失,人
宁夏,暴雨洪涝造成了损失,人
新疆,暴雨洪涝造成了损失,人
新疆兵团,暴雨洪涝造成了损失,人
7月1日,暴雨洪涝发生于,河北
7月1日,暴雨洪涝发生于,山西
7月1日,暴雨洪涝发生于,内蒙古
7月1日,暴雨洪涝发生于,吉林
7月1日,暴雨洪涝发生于,黑龙江
7月1日,暴雨洪涝发生于,江苏
7月1日,暴雨洪涝发生于,安徽
7月1日,暴雨洪涝发生于,山东
7月1日,暴雨洪涝发生于,河南
7月1日,暴雨洪涝发生于,湖北
7月1日,暴雨洪涝发生于,重庆
7月1日,暴雨洪涝发生于,四川
7月1日,暴雨洪涝发生于,贵州
7月1日,暴雨洪涝发生于,云南
7月1日,暴雨洪涝发生于,西藏
7月1日,暴雨洪涝发生于,陕西
7月1日,暴雨洪涝发生于,甘肃
7月1日,暴雨洪涝发生于,青海
7月1日,暴雨洪涝发生于,宁夏
7月1日,暴雨洪涝发生于,新疆
7月1日,暴雨洪涝发生于,新疆兵团
7月1日,暴雨洪涝造成了损失,人
7月8日,暴雨洪涝发生于,河北
7月8日,暴雨洪涝发生于,山西
7月8日,暴雨洪涝发生于,内蒙古
7月8日,暴雨洪涝发生于,吉林
7月8日,暴雨洪涝发生于,黑龙江
7月8日,暴雨洪涝发生于,江苏
7月8日,暴雨洪涝发生于,安徽
7月8日,暴雨洪涝发生于,山东
7月8日,暴雨洪涝发生于,河南
7月8日,暴雨洪涝发生于,湖北
7月8日,暴雨洪涝发生于,重庆
7月8日,暴雨洪涝发生于,四川
7月8日,暴雨洪涝发生于,贵州
7月8日,暴雨洪涝发生于,云南
7月8日,暴雨洪涝发生于,西藏
7月8日,暴雨洪涝发生于,陕西
7月8日,暴雨洪涝发生于,甘肃
7月8日,暴雨洪涝发生于,青海
7月8日,暴雨洪涝发生于,宁夏
7月8日,暴雨洪涝发生于,新疆
7月8日,暴雨洪涝发生于,新疆兵团
7月8日,暴雨洪涝造成了损失,人
河北,暴雨洪涝造成了损失,人
山西,暴雨洪涝造成了损失,人
吉林,暴雨洪涝造成了损失,人
黑龙江,暴雨洪涝造成了损失,人
安徽,暴雨洪涝造成了损失,人
山东,暴雨洪涝造成了损失,人
河南,暴雨洪涝造成了损失,人
湖北,暴雨洪涝造成了损失,人
四川,暴雨洪涝造成了损失,人
云南,暴雨洪涝造成了损失,人
西藏,暴雨洪涝造成了损失,人
陕西,暴雨洪涝造成了损失,人
甘肃,暴雨洪涝造成了损失,人
青海,暴雨洪涝造成了损失,人
宁夏,暴雨洪涝造成了损失,人
新疆,暴雨洪涝造成了损失,人
新疆兵团,暴雨洪涝造成了损失,人
7月1日,暴雨洪涝发生于,河北
7月1日,暴雨洪涝发生于,山西
7月1日,暴雨洪涝发生于,吉林
7月1日,暴雨洪涝发生于,黑龙江
7月1日,暴雨洪涝发生于,安徽
7月1日,暴雨洪涝发生于,山东
7月1日,暴雨洪涝发生于,河南
7月1日,暴雨洪涝发生于,湖北
7月1日,暴雨洪涝发生于,四川
7月1日,暴雨洪涝发生于,云南
7月1日,暴雨洪涝发生于,西藏
7月1日,暴雨洪涝发生于,陕西
7月1日,暴雨洪涝发生于,甘肃
7月1日,暴雨洪涝发生于,青海
7月1日,暴雨洪涝发生于,宁夏
7月1日,暴雨洪涝发生于,新疆
7月1日,暴雨洪涝发生于,新疆兵团
7月1日,暴雨洪涝造成了损失,人
7月5日,暴雨洪涝发生于,河北
7月5日,暴雨洪涝发生于,山西
7月5日,暴雨洪涝发生于,吉林
7月5日,暴雨洪涝发生于,黑龙江
7月5日,暴雨洪涝发生于,安徽
7月5日,暴雨洪涝发生于,山东
7月5日,暴雨洪涝发生于,河南
7月5日,暴雨洪涝发生于,湖北
7月5日,暴雨洪涝发生于,四川
7月5日,暴雨洪涝发生于,云南
7月5日,暴雨洪涝发生于,西藏
7月5日,暴雨洪涝发生于,陕西
7月5日,暴雨洪涝发生于,甘肃
7月5日,暴雨洪涝发生于,青海
7月5日,暴雨洪涝发生于,宁夏
7月5日,暴雨洪涝发生于,新疆
7月5日,暴雨洪涝发生于,新疆兵团
7月5日,暴雨洪涝造成了损失,人
江西,暴雨洪涝造成了损失,人
江西,暴雨洪涝造成了损失,房屋
江西,暴雨洪涝造成了损失,农作物
安徽,暴雨洪涝造成了损失,人
安徽,暴雨洪涝造成了损失,房屋
安徽,暴雨洪涝造成了损失,农作物
湖北,暴雨洪涝造成了损失,人
湖北,暴雨洪涝造成了损失,房屋
湖北,暴雨洪涝造成了损失,农作物
湖南,暴雨洪涝造成了损失,人
湖南,暴雨洪涝造成了损失,房屋
湖南,暴雨洪涝造成了损失,农作物
重庆,暴雨洪涝造成了损失,人
重庆,暴雨洪涝造成了损失,房屋
重庆,暴雨洪涝造成了损失,农作物
贵州,暴雨洪涝造成了损失,人
贵州,暴雨洪涝造成了损失,房屋
贵州,暴雨洪涝造成了损失,农作物
7月份,暴雨洪涝发生于,江西
7月份,暴雨洪涝发生于,安徽
7月份,暴雨洪涝发生于,湖北
7月份,暴雨洪涝发生于,湖南
7月份,暴雨洪涝发生于,重庆
7月份,暴雨洪涝发生于,贵州
7月份,暴雨洪涝造成了损失,人
7月份,暴雨洪涝造成了损失,房屋
7月份,暴雨洪涝造成了损失,农作物
江苏,暴雨洪涝造成了损失,人
江苏,暴雨洪涝造成了损失,农作物
江苏,暴雨洪涝造成了损失,房屋
浙江,暴雨洪涝造成了损失,人
浙江,暴雨洪涝造成了损失,农作物
浙江,暴雨洪涝造成了损失,房屋
安徽,暴雨洪涝造成了损失,人
安徽,暴雨洪涝造成了损失,农作物
安徽,暴雨洪涝造成了损失,房屋
福建,暴雨洪涝造成了损失,人
福建,暴雨洪涝造成了损失,农作物
福建,暴雨洪涝造成了损失,房屋
江西,暴雨洪涝造成了损失,人
江西,暴雨洪涝造成了损失,农作物
江西,暴雨洪涝造成了损失,房屋
湖北,暴雨洪涝造成了损失,人
湖北,暴雨洪涝造成了损失,农作物
湖北,暴雨洪涝造成了损失,房屋
湖南,暴雨洪涝造成了损失,人
湖南,暴雨洪涝造成了损失,农作物
湖南,暴雨洪涝造成了损失,房屋
重庆,暴雨洪涝造成了损失,人
重庆,暴雨洪涝造成了损失,农作物
重庆,暴雨洪涝造成了损失,房屋
四川,暴雨洪涝造成了损失,人
四川,暴雨洪涝造成了损失,农作物
四川,暴雨洪涝造成了损失,房屋
贵州,暴雨洪涝造成了损失,人
贵州,暴雨洪涝造成了损失,农作物
贵州,暴雨洪涝造成了损失,房屋
云南,暴雨洪涝造成了损失,人
云南,暴雨洪涝造成了损失,农作物
云南,暴雨洪涝造成了损失,房屋
陕西,暴雨洪涝造成了损失,人
陕西,暴雨洪涝造成了损失,农作物
陕西,暴雨洪涝造成了损失,房屋
7月份,暴雨洪涝发生于,江苏
7月份,暴雨洪涝发生于,浙江
7月份,暴雨洪涝发生于,安徽
7月份,暴雨洪涝发生于,福建
7月份,暴雨洪涝发生于,江西
7月份,暴雨洪涝发生于,湖北
7月份,暴雨洪涝发生于,湖南
7月份,暴雨洪涝发生于,重庆
7月份,暴雨洪涝发生于,四川
7月份,暴雨洪涝发生于,贵州
7月份,暴雨洪涝发生于,云南
7月份,暴雨洪涝发生于,陕西
7月份,暴雨洪涝造成了损失,人
7月份,暴雨洪涝造成了损失,农作物
7月份,暴雨洪涝造成了损失,房屋
7月21日,暴雨洪涝发生于,江苏
7月21日,暴雨洪涝发生于,浙江
7月21日,暴雨洪涝发生于,安徽
7月21日,暴雨洪涝发生于,福建
7月21日,暴雨洪涝发生于,江西
7月21日,暴雨洪涝发生于,湖北
7月21日,暴雨洪涝发生于,湖南
7月21日,暴雨洪涝发生于,重庆
7月21日,暴雨洪涝发生于,四川
7月21日,暴雨洪涝发生于,贵州
7月21日,暴雨洪涝发生于,云南
7月21日,暴雨洪涝发生于,陕西
7月21日,暴雨洪涝造成了损失,人
7月21日,暴雨洪涝造成了损失,农作物
7月21日,暴雨洪涝造成了损失,房屋
甘肃省,暴雨洪涝造成了损失,人
甘肃省,暴雨洪涝造成了损失,农作物
甘肃省,暴雨洪涝造成了损失,耕地
甘肃省,暴雨洪涝造成了损失,房屋
甘肃,暴雨洪涝造成了损失,人
甘肃,暴雨洪涝造成了损失,农作物
甘肃,暴雨洪涝造成了损失,耕地
甘肃,暴雨洪涝造成了损失,房屋
天水,暴雨洪涝造成了损失,人
天水,暴雨洪涝造成了损失,农作物
天水,暴雨洪涝造成了损失,耕地
天水,暴雨洪涝造成了损失,房屋
定西,暴雨洪涝造成了损失,人
定西,暴雨洪涝造成了损失,农作物
定西,暴雨洪涝造成了损失,耕地
定西,暴雨洪涝造成了损失,房屋
甘南,暴雨洪涝造成了损失,人
甘南,暴雨洪涝造成了损失,农作物
甘南,暴雨洪涝造成了损失,耕地
甘南,暴雨洪涝造成了损失,房屋
兰州,暴雨洪涝造成了损失,人
兰州,暴雨洪涝造成了损失,农作物
兰州,暴雨洪涝造成了损失,耕地
兰州,暴雨洪涝造成了损失,房屋
庆阳,暴雨洪涝造成了损失,人
庆阳,暴雨洪涝造成了损失,农作物
庆阳,暴雨洪涝造成了损失,耕地
庆阳,暴雨洪涝造成了损失,房屋
临夏,暴雨洪涝造成了损失,人
临夏,暴雨洪涝造成了损失,农作物
临夏,暴雨洪涝造成了损失,耕地
临夏,暴雨洪涝造成了损失,房屋
平凉,暴雨洪涝造成了损失,人
平凉,暴雨洪涝造成了损失,农作物
平凉,暴雨洪涝造成了损失,耕地
平凉,暴雨洪涝造成了损失,房屋
8月11日,暴雨洪涝发生于,甘肃省
8月11日,暴雨洪涝发生于,甘肃
8月11日,暴雨洪涝发生于,天水
8月11日,暴雨洪涝发生于,定西
8月11日,暴雨洪涝发生于,甘南
8月11日,暴雨洪涝发生于,兰州
8月11日,暴雨洪涝发生于,庆阳
8月11日,暴雨洪涝发生于,临夏
8月11日,暴雨洪涝发生于,平凉
8月11日,暴雨洪涝造成了损失,人
8月11日,暴雨洪涝造成了损失,农作物
8月11日,暴雨洪涝造成了损失,耕地
8月11日,暴雨洪涝造成了损失,房屋
12日,暴雨洪涝发生于,甘肃省
12日,暴雨洪涝发生于,甘肃
12日,暴雨洪涝发生于,天水
12日,暴雨洪涝发生于,定西
12日,暴雨洪涝发生于,甘南
12日,暴雨洪涝发生于,兰州
12日,暴雨洪涝发生于,庆阳
12日,暴雨洪涝发生于,临夏
12日,暴雨洪涝发生于,平凉
12日,暴雨洪涝造成了损失,人
12日,暴雨洪涝造成了损失,农作物
12日,暴雨洪涝造成了损失,耕地
12日,暴雨洪涝造成了损失,房屋
河源,暴雨洪涝造成了损失,人
河源,暴雨洪涝造成了损失,房屋
河源,暴雨洪涝造成了损失,农作物
河源,暴雨洪涝造成了损失,群众
揭阳,暴雨洪涝造成了损失,人
揭阳,暴雨洪涝造成了损失,房屋
揭阳,暴雨洪涝造成了损失,农作物
揭阳,暴雨洪涝造成了损失,群众
云浮,暴雨洪涝造成了损失,人
云浮,暴雨洪涝造成了损失,房屋
云浮,暴雨洪涝造成了损失,农作物
云浮,暴雨洪涝造成了损失,群众
郁南县,暴雨洪涝造成了损失,人
郁南县,暴雨洪涝造成了损失,房屋
郁南县,暴雨洪涝造成了损失,农作物
郁南县,暴雨洪涝造成了损失,群众
7月25日,暴雨洪涝发生于,河源
7月25日,暴雨洪涝发生于,揭阳
7月25日,暴雨洪涝发生于,云浮
7月25日,暴雨洪涝发生于,郁南县
7月25日,暴雨洪涝造成了损失,人
7月25日,暴雨洪涝造成了损失,房屋
7月25日,暴雨洪涝造成了损失,农作物
7月25日,暴雨洪涝造成了损失,群众
湖北,暴雨洪涝造成了损失,人
湖北,暴雨洪涝造成了损失,群众
湖北,暴雨洪涝造成了损失,农作物
湖北,暴雨洪涝造成了损失,民房
宜昌市,暴雨洪涝造成了损失,人
宜昌市,暴雨洪涝造成了损失,群众
宜昌市,暴雨洪涝造成了损失,农作物
宜昌市,暴雨洪涝造成了损失,民房
夷陵区,暴雨洪涝造成了损失,人
夷陵区,暴雨洪涝造成了损失,群众
夷陵区,暴雨洪涝造成了损失,农作物
夷陵区,暴雨洪涝造成了损失,民房
6月7日,暴雨洪涝发生于,湖北
6月7日,暴雨洪涝发生于,宜昌市
6月7日,暴雨洪涝发生于,夷陵区
6月7日,暴雨洪涝造成了损失,人
6月7日,暴雨洪涝造成了损失,群众
6月7日,暴雨洪涝造成了损失,农作物
6月7日,暴雨洪涝造成了损失,民房
7月25日,暴雨洪涝发生于,湖北
7月25日,暴雨洪涝发生于,宜昌市
7月25日,暴雨洪涝发生于,夷陵区
7月25日,暴雨洪涝造成了损失,人
7月25日,暴雨洪涝造成了损失,群众
7月25日,暴雨洪涝造成了损失,农作物
7月25日,暴雨洪涝造成了损失,民房
27日,暴雨洪涝发生于,湖北
27日,暴雨洪涝发生于,宜昌市
27日,暴雨洪涝发生于,夷陵区
27日,暴雨洪涝造成了损失,人
27日,暴雨洪涝造成了损失,群众
27日,暴雨洪涝造成了损失,农作物
27日,暴雨洪涝造成了损失,民房
湖南,暴雨洪涝造成了损失,人
湖南,暴雨洪涝造成了损失,民房
临湘市,暴雨洪涝造成了损失,人
临湘市,暴雨洪涝造成了损失,民房
詹桥镇,暴雨洪涝造成了损失,人
詹桥镇,暴雨洪涝造成了损失,民房
观山村,暴雨洪涝造成了损失,人
观山村,暴雨洪涝造成了损失,民房
湖南省,暴雨洪涝造成了损失,人
湖南省,暴雨洪涝造成了损失,民房
6月9日,暴雨洪涝发生于,湖南
6月9日,暴雨洪涝发生于,临湘市
6月9日,暴雨洪涝发生于,詹桥镇
6月9日,暴雨洪涝发生于,观山村
6月9日,暴雨洪涝发生于,湖南省
6月9日,暴雨洪涝造成了损失,人
6月9日,暴雨洪涝造成了损失,民房
10日,暴雨洪涝发生于,湖南
10日,暴雨洪涝发生于,临湘市
10日,暴雨洪涝发生于,詹桥镇
10日,暴雨洪涝发生于,观山村
10日,暴雨洪涝发生于,湖南省
10日,暴雨洪涝造成了损失,人
10日,暴雨洪涝造成了损失,民房
9日,暴雨洪涝发生于,湖南
9日,暴雨洪涝发生于,临湘市
9日,暴雨洪涝发生于,詹桥镇
9日,暴雨洪涝发生于,观山村
9日,暴雨洪涝发生于,湖南省
9日,暴雨洪涝造成了损失,人
9日,暴雨洪涝造成了损失,民房
3时,暴雨洪涝发生于,湖南
3时,暴雨洪涝发生于,临湘市
3时,暴雨洪涝发生于,詹桥镇
3时,暴雨洪涝发生于,观山村
3时,暴雨洪涝发生于,湖南省
